Field,Type,Max Size,Description
z2t_ID,int,10,A unique number generated by Zip2Tax for reference purposes.
ZIP Code,string,50,(Zone Improvement Plan) code; a system of 5-digit codes that identifies the individual post office or metropolitan area delivery station associated with an address.
Sales Tax Rate,currency,10,"The combined state, county and local taxes associated with an area's ZIP code."
Rate State,currency,10,The portion of the sales tax remitted to the state.
Reporting Code State,string,50,"Some states use a reporting code, often an abbreviation of the jurisdiction, (ex: CG for ""city of Casa Grande, AZ) or sometimes a numeric code decided by the state. This field will be left blank for those states that do not require reporting codes."
Rate County,currency,10,The portion of the sales tax remitted to the county.
Reporting Code County,string,50,Some counties use a reporting code. This field will be left blank for those counties that do not require reporting codes.
Rate City,currency,10,The portion of the sales tax remitted to the city.
Reporting Code City,string,50,Some cities use a reporting code. This field will be left blank for those cities that do not require reporting codes.
Rate Special District,currency,10,"The portion of the sales tax remitted to a special district. This district could be a school system, a service authority -- often related to utilities or transportation -- or other municipality designated for taxation purposes such as police, fire or ambulance."
Reporting Code Special District,string,50,Some special districts use a reporting code. This field will be left blank for those special districts that do not require reporting codes.
City,string,50,An incorporated administrative district established by state charter.
Post Office,string,50,The name of the city used by the postal service which is not necessarily match the city named above.
State,string,50,A two letter abbreviation for the state.
County,string,50,"A local level of government below the state or federal territory. Counties are used in 48 of the 50 states, while Louisiana is divided into parishes and Alaska into boroughs."
Shipping Taxable,int,10,"""1"" mean shipping is taxable and ""0"" means nod."
Primary Record,int,10,"Some municipalities share ZIP codes. For example: The Arizona city of New River, county of Maricopa, shares the 85087 ZIP code with the City of Phoenix. New River is the location of the post office, therefore it is the Primary Record. A ""1"" denotes the Primary Record and ""0"" means this is a shared ZIP code but the other location contains the post office."
