"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default","default_1"
"US-NY-06390-Rate1","US","NY","06390","8.625","","","","",""
"US-NY-10473-Rate1","US","NY","10473","8.875","","","","",""
"US-NY-10474-Rate1","US","NY","10474","8.875","","","","",""
"US-NY-10475-Rate1","US","NY","10475","8.875","","","","",""
"US-NY-10499-Rate1","US","NY","10499","8.875","","","","",""
"US-NY-10501-Rate1","US","NY","10501","7.375","","","","",""
"US-NY-10502-Rate1","US","NY","10502","7.375","","","","",""
"US-CA-90623-Rate1","US","CA","90623","7.75","","","","",""
"US-CA-90624-Rate1","US","CA","90624","7.75","","","","",""
"US-CA-90630-Rate1","US","CA","90630","7.75","","","","",""
"US-CA-90631-Rate1","US","CA","90631","8.25","","","","",""
"US-CA-90632-Rate1","US","CA","90632","8.25","","","","",""
"US-CA-90633-Rate1","US","CA","90633","8.25","","","","",""
"US-CA-90637-Rate1","US","CA","90637","8.75","","","","",""
"US-CA-90638-Rate1","US","CA","90638","8.75","","","","",""
"US-CA-90639-Rate1","US","CA","90639","8.75","","","","",""
"US-CA-90640-Rate1","US","CA","90640","8.75","","","","",""
"US-CA-90650-Rate1","US","CA","90650","8.75","","","","",""
"US-CA-90651-Rate1","US","CA","90651","8.75","","","","",""
"US-CA-90652-Rate1","US","CA","90652","8.75","","","","",""
"US-CA-90660-Rate1","US","CA","90660","9.75","","","","",""
"US-CA-90661-Rate1","US","CA","90661","9.75","","","","",""
"US-CA-90662-Rate1","US","CA","90662","9.75","","","","",""
"US-TX-75152-Rate1","US","TX","75152","8.25","","","","",""
"US-TX-75153-Rate1","US","TX","75153","6.75","","","","",""
"US-TX-75154-Rate1","US","TX","75154","8.25","","","","",""
"US-TX-75155-Rate1","US","TX","75155","8","","","","",""
"US-TX-75156-Rate1","US","TX","75156","8.25","","","","",""
"US-TX-75157-Rate1","US","TX","75157","7.25","","","","",""
"US-TX-75158-Rate1","US","TX","75158","7.25","","","","",""
"US-TX-75159-Rate1","US","TX","75159","8.25","","","","",""
"US-TX-75160-Rate1","US","TX","75160","8.25","","","","",""
"US-TX-75161-Rate1","US","TX","75161","8.25","","","","",""
"US-TX-75163-Rate1","US","TX","75163","8","","","","",""
"US-TX-75164-Rate1","US","TX","75164","7.25","","","","",""
"US-TX-75165-Rate1","US","TX","75165","8.25","","","","",""
"US-TX-75166-Rate1","US","TX","75166","7.75","","","","",""
"US-TX-75167-Rate1","US","TX","75167","8.25","","","","",""
"US-WA-98021-Rate1","US","WA","98021","9.5","","","","",""
"US-WA-98022-Rate1","US","WA","98022","8.6","","","","",""
"US-WA-98023-Rate1","US","WA","98023","9.5","","","","",""
"US-WA-98024-Rate1","US","WA","98024","8.6","","","","",""
"US-WA-98025-Rate1","US","WA","98025","8.6","","","","",""
"US-WA-98026-Rate1","US","WA","98026","9.5","","","","",""
"US-WA-98027-Rate1","US","WA","98027","8.6","","","","",""
"US-WA-98028-Rate1","US","WA","98028","9.5","","","","",""
