taxid,taxstateshort,taxstatelong,taxcountry,tax1_title,tax1_percent,taxpostalcode
1,NY,New York,United States,Tax (8.63%),8.625,00501
2,NY,New York,United States,Tax (8.63%),8.625,00501
3,NY,New York,United States,Tax (8.63%),8.625,00544
4,NY,New York,United States,Tax (8.63%),8.625,00544
5,PR,Puerto Rico,United States,Tax (7.00%),7,00601
83170,PR,Puerto Rico,United States,Tax (7.00%),7,00601
6,PR,Puerto Rico,United States,Tax (7.00%),7,00601
7,PR,Puerto Rico,United States,Tax (7.00%),7,00601
9,PR,Puerto Rico,United States,Tax (7.00%),7,00602
8275,MA,Massachusetts,United States,Tax (6.25%),6.25,02120
8278,MA,Massachusetts,United States,Tax (6.25%),6.25,02120
8276,MA,Massachusetts,United States,Tax (6.25%),6.25,02120
8277,MA,Massachusetts,United States,Tax (6.25%),6.25,02120
8280,MA,Massachusetts,United States,Tax (6.25%),6.25,02121
8281,MA,Massachusetts,United States,Tax (6.25%),6.25,02121
8286,MA,Massachusetts,United States,Tax (6.25%),6.25,02121
8287,MA,Massachusetts,United States,Tax (6.25%),6.25,02122
8288,MA,Massachusetts,United States,Tax (6.25%),6.25,02122
8289,MA,Massachusetts,United States,Tax (6.25%),6.25,02123
8290,MA,Massachusetts,United States,Tax (6.25%),6.25,02124
8291,MA,Massachusetts,United States,Tax (6.25%),6.25,02124
8292,MA,Massachusetts,United States,Tax (6.25%),6.25,02124
8294,MA,Massachusetts,United States,Tax (6.25%),6.25,02125
8295,MA,Massachusetts,United States,Tax (6.25%),6.25,02125
8296,MA,Massachusetts,United States,Tax (6.25%),6.25,02125
8301,MA,Massachusetts,United States,Tax (6.25%),6.25,02126
8297,MA,Massachusetts,United States,Tax (6.25%),6.25,02126
84202,MA,Massachusetts,United States,Tax (6.25%),6.25,02126
8302,MA,Massachusetts,United States,Tax (6.25%),6.25,02127
8304,MA,Massachusetts,United States,Tax (6.25%),6.25,02127
8305,MA,Massachusetts,United States,Tax (6.25%),6.25,02128
8307,MA,Massachusetts,United States,Tax (6.25%),6.25,02128
8309,MA,Massachusetts,United States,Tax (6.25%),6.25,02129
8308,MA,Massachusetts,United States,Tax (6.25%),6.25,02129
8311,MA,Massachusetts,United States,Tax (6.25%),6.25,02130
8310,MA,Massachusetts,United States,Tax (6.25%),6.25,02130
8316,MA,Massachusetts,United States,Tax (6.25%),6.25,02131
8312,MA,Massachusetts,United States,Tax (6.25%),6.25,02131
8319,MA,Massachusetts,United States,Tax (6.25%),6.25,02132
8317,MA,Massachusetts,United States,Tax (6.25%),6.25,02132
8320,MA,Massachusetts,United States,Tax (6.25%),6.25,02133
8321,MA,Massachusetts,United States,Tax (6.25%),6.25,02134
8322,MA,Massachusetts,United States,Tax (6.25%),6.25,02134
8324,MA,Massachusetts,United States,Tax (6.25%),6.25,02135
8323,MA,Massachusetts,United States,Tax (6.25%),6.25,02135
8326,MA,Massachusetts,United States,Tax (6.25%),6.25,02136
8325,MA,Massachusetts,United States,Tax (6.25%),6.25,02136
8327,MA,Massachusetts,United States,Tax (6.25%),6.25,02136
8333,MA,Massachusetts,United States,Tax (6.25%),6.25,02137
8331,MA,Massachusetts,United States,Tax (6.25%),6.25,02137
8332,MA,Massachusetts,United States,Tax (6.25%),6.25,02137
